booking_id,booking_date,journey_date,seat_count,advance_booking_days,seat_type,boarding_station,dropping_station,journey_day_of_week,booking_hour,has_meal,meal_count,seat_amount,meal_amount,total_amount,season,confirmation_probability
BK00001,18-10-2025,22-10-2025,2,4,upper,Nadiad,Surat,0,20,0,0,1400,0,1400,holiday,88.07170158
BK00002,03-05-2024,07-05-2024,5,4,lower,Ahmedabad,Vadodara,3,21,0,0,4000,0,4000,normal,81.54849849
BK00003,17-02-2024,18-02-2024,3,1,lower,Surat,Vadodara,5,5,0,0,2400,0,2400,holiday,81.60339085
BK00004,04-12-2025,13-12-2025,2,9,upper,Ahmedabad,Surat,1,11,1,2,1400,300,1700,festival,84.11732907
BK00005,20-07-2024,26-07-2024,1,6,upper,Ahmedabad,Surat,1,11,0,0,700,0,700,festival,93.03252623
BK00006,28-09-2025,18-10-2025,1,20,upper,Nadiad,Surat,0,4,1,1,700,200,900,normal,97.87206767
BK00007,12-12-2024,12-12-2024,1,0,mixed,Vadodara,Surat,6,20,1,1,750,200,950,normal,89.02059715
BK00008,18-10-2024,28-10-2024,4,10,lower,Ahmedabad,Mumbai,0,11,1,1,3200,150,3350,normal,95.18593834
BK00009,13-04-2025,27-04-2025,2,14,upper,Nadiad,Mumbai,3,14,1,1,1400,150,1550,normal,95.77136683
BK00010,10-05-2025,24-05-2025,3,14,lower,Ahmedabad,Mumbai,4,8,1,2,2400,200,2600,normal,95.48431266
BK00011,30-08-2025,20-09-2025,1,21,lower,Ahmedabad,Mumbai,1,14,1,1,800,200,1000,normal,98
BK00012,12-02-2024,25-02-2024,5,13,lower,Vadodara,Mumbai,1,17,0,0,4000,0,4000,normal,77.01771746
BK00013,07-04-2024,03-05-2024,3,26,lower,Surat,Mumbai,4,8,1,2,2400,400,2800,holiday,98
BK00014,28-08-2024,01-09-2024,1,4,lower,Nadiad,Mumbai,3,1,1,1,800,150,950,normal,98
BK00015,30-11-2024,06-12-2024,1,6,lower,Ahmedabad,Surat,2,14,1,1,800,150,950,holiday,88.06109847
BK00016,09-05-2024,09-05-2024,1,0,mixed,Vadodara,Mumbai,2,14,1,1,750,150,900,normal,96.36956993
BK00017,12-04-2024,12-04-2024,2,0,upper,Ahmedabad,Mumbai,1,5,1,1,1400,100,1500,normal,95.67868902
BK00018,04-03-2025,06-03-2025,2,2,mixed,Ahmedabad,Mumbai,2,8,1,1,1500,100,1600,normal,86.2632783
BK00019,21-11-2024,22-11-2024,2,1,upper,Nadiad,Nadiad,6,2,1,2,1400,200,1600,normal,89.78563826
